model_idx,seed_idx,aib,decile
0,0,1.0,0
0,0,1.5263157894736843,1
0,0,2.128205128205128,2
0,0,2.610169491525424,3
0,0,2.948717948717949,4
0,0,3.336734693877551,5
0,0,3.711864406779661,6
0,0,4.131386861313868,7
0,0,4.662420382165605,8
0,0,inf,9
0,0,inf,10
1,0,1.0,0
1,0,1.631578947368421,1
1,0,2.051282051282051,2
1,0,2.3728813559322033,3
1,0,2.7721518987341773,4
1,0,3.080808080808081,5
1,0,3.457627118644068,6
1,0,inf,7
1,0,inf,8
1,0,inf,9
1,0,inf,10
2,0,1.0,0
2,0,1.736842105263158,1
2,0,2.3846153846153846,2
2,0,2.8983050847457625,3
2,0,3.430379746835443,4
2,0,3.8686868686868685,5
2,0,4.271186440677966,6
2,0,4.768115942028985,7
2,0,inf,8
2,0,inf,9
2,0,inf,10
3,0,1.0,0
3,0,3.526315789473684,1
3,0,5.717948717948718,2
3,0,inf,3
3,0,inf,4
3,0,inf,5
3,0,inf,6
3,0,inf,7
3,0,inf,8
3,0,inf,9
3,0,inf,10
4,0,1.0,0
4,0,2.3,1
4,0,3.525,2
4,0,4.516666666666667,3
4,0,5.45,4
4,0,inf,5
4,0,inf,6
4,0,inf,7
4,0,inf,8
4,0,inf,9
4,0,inf,10
6,0,1.0,0
6,0,2.75,1
6,0,3.975,2
6,0,4.833333333333333,3
6,0,5.6,4
6,0,inf,5
6,0,inf,6
6,0,inf,7
6,0,inf,8
6,0,inf,9
6,0,inf,10
5,0,1.0,0
5,0,2.8421052631578947,1
5,0,3.717948717948718,2
5,0,4.5423728813559325,3
5,0,5.569620253164557,4
5,0,inf,5
5,0,inf,6
5,0,inf,7
5,0,inf,8
5,0,inf,9
5,0,inf,10
7,0,1.0,0
7,0,2.9,1
7,0,4.25,2
7,0,5.1,3
7,0,5.975,4
7,0,inf,5
7,0,inf,6
7,0,inf,7
7,0,inf,8
7,0,inf,9
7,0,inf,10
8,0,1.0,0
8,0,2.75,1
8,0,4.675,2
8,0,6.166666666666667,3
8,0,inf,4
8,0,inf,5
8,0,inf,6
8,0,inf,7
8,0,inf,8
8,0,inf,9
8,0,inf,10
9,0,1.0,0
9,0,inf,1
9,0,inf,2
9,0,inf,3
9,0,inf,4
9,0,inf,5
9,0,inf,6
9,0,inf,7
9,0,inf,8
9,0,inf,9
9,0,inf,10
0,1,1.0,0
0,1,1.2105263157894737,1
0,1,1.7692307692307692,2
0,1,2.1864406779661016,3
0,1,2.6025641025641026,4
0,1,2.8877551020408165,5
0,1,3.211864406779661,6
0,1,3.54014598540146,7
0,1,3.872611464968153,8
0,1,4.322033898305085,9
0,1,inf,10
1,1,1.0,0
1,1,1.894736842105263,1
1,1,2.948717948717949,2
1,1,3.7966101694915255,3
1,1,4.506329113924051,4
1,1,5.02020202020202,5
1,1,5.567796610169491,6
1,1,6.1521739130434785,7
1,1,inf,8
1,1,inf,9
1,1,inf,10
2,1,1.0,0
2,1,2.210526315789474,1
2,1,2.948717948717949,2
2,1,3.559322033898305,3
2,1,4.115384615384615,4
2,1,4.612244897959184,5
2,1,5.186440677966102,6
2,1,5.824817518248175,7
2,1,inf,8
2,1,inf,9
2,1,inf,10
4,1,1.0,0
4,1,2.6842105263157894,1
4,1,3.5128205128205128,2
4,1,4.3559322033898304,3
4,1,5.151898734177215,4
4,1,5.818181818181818,5
4,1,6.436974789915967,6
4,1,inf,7
4,1,inf,8
4,1,inf,9
4,1,inf,10
3,1,1.0,0
3,1,3.263157894736842,1
3,1,4.82051282051282,2
3,1,6.033898305084746,3
3,1,inf,4
3,1,inf,5
3,1,inf,6
3,1,inf,7
3,1,inf,8
3,1,inf,9
3,1,inf,10
5,1,1.0,0
5,1,2.1,1
5,1,2.875,2
5,1,3.4166666666666665,3
5,1,3.8875,4
5,1,4.31,5
