asr,iteration,model_size,seed_idx,adv_training_round,model_idx
0.0,0,353824768,0,0,4
0.375,1,353824768,0,0,4
0.6102941176470589,2,353824768,0,0,4
0.7352941176470589,3,353824768,0,0,4
0.8529411764705882,4,353824768,0,0,4
0.9191176470588235,5,353824768,0,0,4
0.9411764705882353,6,353824768,0,0,4
0.9485294117647058,7,353824768,0,0,4
0.9558823529411765,8,353824768,0,0,4
0.9632352941176471,9,353824768,0,0,4
0.9705882352941176,10,353824768,0,0,4
0.0,0,7629056,1,0,0
0.5606060606060606,1,7629056,1,0,0
0.7196969696969697,2,7629056,1,0,0
0.8181818181818181,3,7629056,1,0,0
0.8787878787878788,4,7629056,1,0,0
0.8939393939393939,5,7629056,1,0,0
0.9393939393939394,6,7629056,1,0,0
0.9696969696969697,7,7629056,1,0,0
0.9772727272727273,8,7629056,1,0,0
0.9772727272727273,9,7629056,1,0,0
0.9848484848484849,10,7629056,1,0,0
0.0,0,2646435840,0,0,7
0.21897810218978098,1,2646435840,0,0,7
0.4087591240875912,2,2646435840,0,0,7
0.5985401459854014,3,2646435840,0,0,7
0.6642335766423357,4,2646435840,0,0,7
0.7226277372262774,5,2646435840,0,0,7
0.7591240875912408,6,2646435840,0,0,7
0.7956204379562044,7,2646435840,0,0,7
0.8029197080291971,8,2646435840,0,0,7
0.8102189781021898,9,2646435840,0,0,7
0.8248175182481752,10,2646435840,0,0,7
0.0,0,44672000,0,0,2
0.6617647058823529,1,44672000,0,0,2
0.9411764705882353,2,44672000,0,0,2
0.9926470588235294,3,44672000,0,0,2
1.0,4,44672000,0,0,2
1.0,5,44672000,0,0,2
1.0,6,44672000,0,0,2
1.0,7,44672000,0,0,2
1.0,8,44672000,0,0,2
1.0,9,44672000,0,0,2
1.0,10,44672000,0,0,2
0.0,0,123691008,0,0,3
0.6293706293706294,1,123691008,0,0,3
0.8741258741258742,2,123691008,0,0,3
0.9440559440559441,3,123691008,0,0,3
0.986013986013986,4,123691008,0,0,3
1.0,5,123691008,0,0,3
1.0,6,123691008,0,0,3
1.0,7,123691008,0,0,3
1.0,8,123691008,0,0,3
1.0,9,123691008,0,0,3
1.0,10,123691008,0,0,3
0.0,0,11586560000,0,0,9
0.32867132867132864,1,11586560000,0,0,9
0.4755244755244755,2,11586560000,0,0,9
0.5594405594405594,3,11586560000,0,0,9
0.6363636363636364,4,11586560000,0,0,9
