ifs,decile,model_size,seed_idx,adv_training_round,model_idx
,3,17617408,2,0,1
,4,17617408,2,0,1
,5,17617408,2,0,1
,6,17617408,2,0,1
,7,17617408,2,0,1
,8,17617408,2,0,1
,9,17617408,2,0,1
,10,17617408,2,0,1
0.0,0,7629056,2,0,0
21.0,1,7629056,2,0,0
180.0,2,7629056,2,0,0
939.0,3,7629056,2,0,0
,4,7629056,2,0,0
,5,7629056,2,0,0
,6,7629056,2,0,0
,7,7629056,2,0,0
,8,7629056,2,0,0
,9,7629056,2,0,0
,10,7629056,2,0,0
0.0,0,44672000,2,0,2
163.0,1,44672000,2,0,2
,2,44672000,2,0,2
,3,44672000,2,0,2
,4,44672000,2,0,2
,5,44672000,2,0,2
,6,44672000,2,0,2
,7,44672000,2,0,2
,8,44672000,2,0,2
,9,44672000,2,0,2
,10,44672000,2,0,2
0.0,0,123691008,2,0,3
,1,123691008,2,0,3
,2,123691008,2,0,3
,3,123691008,2,0,3
,4,123691008,2,0,3
,5,123691008,2,0,3
,6,123691008,2,0,3
,7,123691008,2,0,3
,8,123691008,2,0,3
,9,123691008,2,0,3
,10,123691008,2,0,3
0.0,0,353824768,2,0,4
24.0,1,353824768,2,0,4
,2,353824768,2,0,4
,3,353824768,2,0,4
,4,353824768,2,0,4
,5,353824768,2,0,4
,6,353824768,2,0,4
,7,353824768,2,0,4
,8,353824768,2,0,4
,9,353824768,2,0,4
,10,353824768,2,0,4
0.0,0,908763136,2,0,5
7.0,1,908763136,2,0,5
801.0,2,908763136,2,0,5
,3,908763136,2,0,5
,4,908763136,2,0,5
,5,908763136,2,0,5
,6,908763136,2,0,5
,7,908763136,2,0,5
,8,908763136,2,0,5
,9,908763136,2,0,5
,10,908763136,2,0,5
0.0,0,1311629312,2,0,6
2.0,1,1311629312,2,0,6
81.0,2,1311629312,2,0,6
,3,1311629312,2,0,6
,4,1311629312,2,0,6
,5,1311629312,2,0,6
,6,1311629312,2,0,6
,7,1311629312,2,0,6
,8,1311629312,2,0,6
,9,1311629312,2,0,6
,10,1311629312,2,0,6
0.0,0,2646435840,2,0,7
3.0,1,2646435840,2,0,7
193.0,2,2646435840,2,0,7
,3,2646435840,2,0,7
,4,2646435840,2,0,7
,5,2646435840,2,0,7
,6,2646435840,2,0,7
,7,2646435840,2,0,7
,8,2646435840,2,0,7
,9,2646435840,2,0,7
,10,2646435840,2,0,7
0.0,0,11586560000,2,0,9
8.0,1,11586560000,2,0,9
,2,11586560000,2,0,9
,3,11586560000,2,0,9
,4,11586560000,2,0,9
,5,11586560000,2,0,9
,6,11586560000,2,0,9
,7,11586560000,2,0,9
,8,11586560000,2,0,9
,9,11586560000,2,0,9
,10,11586560000,2,0,9
0.0,0,6650740736,2,0,8
,1,6650740736,2,0,8
,2,6650740736,2,0,8
,3,6650740736,2,0,8
,4,6650740736,2,0,8
,5,6650740736,2,0,8
,6,6650740736,2,0,8
,7,6650740736,2,0,8
,8,6650740736,2,0,8
,9,6650740736,2,0,8
,10,6650740736,2,0,8
0.0,0,7629056,3,0,0
10.0,1,7629056,3,0,0
88.0,2,7629056,3,0,0
711.0,3,7629056,3,0,0
,4,7629056,3,0,0
,5,7629056,3,0,0
,6,7629056,3,0,0
,7,7629056,3,0,0
,8,7629056,3,0,0
,9,7629056,3,0,0
,10,7629056,3,0,0
0.0,0,44672000,3,0,2
578.0,1,44672000,3,0,2
,2,44672000,3,0,2
,3,44672000,3,0,2
,4,44672000,3,0,2
,5,44672000,3,0,2
,6,44672000,3,0,2
,7,44672000,3,0,2
,8,44672000,3,0,2
,9,44672000,3,0,2
,10,44672000,3,0,2
0.0,0,17617408,3,0,1
25.0,1,17617408,3,0,1
565.0,2,17617408,3,0,1
,3,17617408,3,0,1
,4,17617408,3,0,1
,5,17617408,3,0,1
,6,17617408,3,0,1
,7,17617408,3,0,1
,8,17617408,3,0,1
,9,17617408,3,0,1
,10,17617408,3,0,1
0.0,0,123691008,3,0,3
6.0,1,123691008,3,0,3
,2,123691008,3,0,3
,3,123691008,3,0,3
,4,123691008,3,0,3
,5,123691008,3,0,3
,6,123691008,3,0,3
,7,123691008,3,0,3
,8,123691008,3,0,3
,9,123691008,3,0,3
,10,123691008,3,0,3
0.0,0,353824768,3,0,4
19.0,1,353824768,3,0,4
,2,353824768,3,0,4
,3,353824768,3,0,4
,4,353824768,3,0,4
,5,353824768,3,0,4
,6,353824768,3,0,4
,7,353824768,3,0,4
,8,353824768,3,0,4
,9,353824768,3,0,4
,10,353824768,3,0,4
0.0,0,908763136,3,0,5
2.0,1,908763136,3,0,5
8.0,2,908763136,3,0,5
24.0,3,908763136,3,0,5
131.0,4,908763136,3,0,5
,5,908763136,3,0,5
,6,908763136,3,0,5
,7,908763136,3,0,5
,8,908763136,3,0,5
,9,908763136,3,0,5
,10,908763136,3,0,5
0.0,0,1311629312,3,0,6
,1,1311629312,3,0,6
,2,1311629312,3,0,6
,3,1311629312,3,0,6
,4,1311629312,3,0,6
,5,1311629312,3,0,6
,6,1311629312,3,0,6
,7,1311629312,3,0,6
,8,1311629312,3,0,6
,9,1311629312,3,0,6
,10,1311629312,3,0,6
0.0,0,11586560000,3,0,9
194.0,1,11586560000,3,0,9
,2,11586560000,3,0,9
,3,11586560000,3,0,9
,4,11586560000,3,0,9
,5,11586560000,3,0,9
,6,11586560000,3,0,9
,7,11586560000,3,0,9
,8,11586560000,3,0,9
,9,11586560000,3,0,9
,10,11586560000,3,0,9
0.0,0,6650740736,3,0,8
5.0,1,6650740736,3,0,8
571.0,2,6650740736,3,0,8
,3,6650740736,3,0,8
,4,6650740736,3,0,8
,5,6650740736,3,0,8
,6,6650740736,3,0,8
,7,6650740736,3,0,8
,8,6650740736,3,0,8
,9,6650740736,3,0,8
,10,6650740736,3,0,8
0.0,0,17617408,4,0,1
,1,17617408,4,0,1
,2,17617408,4,0,1
,3,17617408,4,0,1
,4,17617408,4,0,1
,5,17617408,4,0,1
,6,17617408,4,0,1
,7,17617408,4,0,1
,8,17617408,4,0,1
,9,17617408,4,0,1
,10,17617408,4,0,1
0.0,0,44672000,4,0,2
,1,44672000,4,0,2
,2,44672000,4,0,2
,3,44672000,4,0,2
,4,44672000,4,0,2
,5,44672000,4,0,2
,6,44672000,4,0,2
,7,44672000,4,0,2
,8,44672000,4,0,2
,9,44672000,4,0,2
,10,44672000,4,0,2
0.0,0,123691008,4,0,3
,1,123691008,4,0,3
,2,123691008,4,0,3
,3,123691008,4,0,3
,4,123691008,4,0,3
,5,123691008,4,0,3
,6,123691008,4,0,3
,7,123691008,4,0,3
,8,123691008,4,0,3
,9,123691008,4,0,3
,10,123691008,4,0,3
0.0,0,353824768,4,0,4
816.0,1,353824768,4,0,4
,2,353824768,4,0,4
,3,353824768,4,0,4
,4,353824768,4,0,4
,5,353824768,4,0,4
,6,353824768,4,0,4
,7,353824768,4,0,4
,8,353824768,4,0,4
,9,353824768,4,0,4
,10,353824768,4,0,4
0.0,0,908763136,4,0,5
6.0,1,908763136,4,0,5
39.0,2,908763136,4,0,5
549.0,3,908763136,4,0,5
,4,908763136,4,0,5
,5,908763136,4,0,5
,6,908763136,4,0,5
,7,908763136,4,0,5
,8,908763136,4,0,5
,9,908763136,4,0,5
,10,908763136,4,0,5
0.0,0,2646435840,3,0,7
1.0,1,2646435840,3,0,7
2.0,2,2646435840,3,0,7
7.0,3,2646435840,3,0,7
22.0,4,2646435840,3,0,7
,5,2646435840,3,0,7
,6,2646435840,3,0,7
,7,2646435840,3,0,7
,8,2646435840,3,0,7
,9,2646435840,3,0,7
,10,2646435840,3,0,7
0.0,0,1311629312,4,0,6
6.0,1,1311629312,4,0,6
363.0,2,1311629312,4,0,6
,3,1311629312,4,0,6
,4,1311629312,4,0,6
,5,1311629312,4,0,6
,6,1311629312,4,0,6
,7,1311629312,4,0,6
,8,1311629312,4,0,6
,9,1311629312,4,0,6
,10,1311629312,4,0,6
0.0,0,7629056,4,0,0
126.0,1,7629056,4,0,0
510.0,2,7629056,4,0,0
,3,7629056,4,0,0
,4,7629056,4,0,0
,5,7629056,4,0,0
,6,7629056,4,0,0
,7,7629056,4,0,0
,8,7629056,4,0,0
,9,7629056,4,0,0
,10,7629056,4,0,0
0.0,0,2646435840,4,0,7
,1,2646435840,4,0,7
,2,2646435840,4,0,7
,3,2646435840,4,0,7
,4,2646435840,4,0,7
,5,2646435840,4,0,7
,6,2646435840,4,0,7
,7,2646435840,4,0,7
,8,2646435840,4,0,7
,9,2646435840,4,0,7
,10,2646435840,4,0,7
0.0,0,6650740736,4,0,8
3.0,1,6650740736,4,0,8
39.0,2,6650740736,4,0,8
346.0,3,6650740736,4,0,8
,4,6650740736,4,0,8
,5,6650740736,4,0,8
,6,6650740736,4,0,8
,7,6650740736,4,0,8
,8,6650740736,4,0,8
,9,6650740736,4,0,8
,10,6650740736,4,0,8
0.0,0,11586560000,4,0,9
335.0,1,11586560000,4,0,9
,2,11586560000,4,0,9
,3,11586560000,4,0,9
,4,11586560000,4,0,9
,5,11586560000,4,0,9
,6,11586560000,4,0,9
,7,11586560000,4,0,9
,8,11586560000,4,0,9
,9,11586560000,4,0,9
,10,11586560000,4,0,9
