asr,iteration,model_size,seed_idx,adv_training_round,model_idx
0.0,0,17617408,1,0,1
0.045454545454545414,1,17617408,1,0,1
0.06060606060606055,2,17617408,1,0,1
0.11616161616161613,3,17617408,1,0,1
0.18181818181818177,4,17617408,1,0,1
0.2525252525252525,5,17617408,1,0,1
0.33838383838383834,6,17617408,1,0,1
0.4949494949494949,7,17617408,1,0,1
0.5555555555555556,8,17617408,1,0,1
0.6363636363636364,9,17617408,1,0,1
0.696969696969697,10,17617408,1,0,1
0.0,0,11586560000,0,0,9
0.0050000000000000044,1,11586560000,0,0,9
0.010000000000000009,2,11586560000,0,0,9
0.010000000000000009,3,11586560000,0,0,9
0.010000000000000009,4,11586560000,0,0,9
0.015000000000000013,5,11586560000,0,0,9
0.015000000000000013,6,11586560000,0,0,9
0.015000000000000013,7,11586560000,0,0,9
0.020000000000000018,8,11586560000,0,0,9
0.030000000000000027,9,11586560000,0,0,9
0.04500000000000004,10,11586560000,0,0,9
0.0,0,7629056,0,0,0
0.045685279187817285,1,7629056,0,0,0
0.12690355329949243,2,7629056,0,0,0
0.24365482233502533,3,7629056,0,0,0
0.41116751269035534,4,7629056,0,0,0
0.5431472081218274,5,7629056,0,0,0
0.6243654822335025,6,7629056,0,0,0
0.700507614213198,7,7629056,0,0,0
0.7614213197969544,8,7629056,0,0,0
0.817258883248731,9,7629056,0,0,0
0.8477157360406091,10,7629056,0,0,0
0.0,0,6650740736,0,0,8
0.015000000000000013,1,6650740736,0,0,8
0.040000000000000036,2,6650740736,0,0,8
0.07999999999999996,3,6650740736,0,0,8
0.08999999999999997,4,6650740736,0,0,8
0.11499999999999999,5,6650740736,0,0,8
0.135,6,6650740736,0,0,8
0.18999999999999995,7,6650740736,0,0,8
0.21999999999999997,8,6650740736,0,0,8
0.265,9,6650740736,0,0,8
0.30500000000000005,10,6650740736,0,0,8
0.0,0,353824768,0,0,4
0.025000000000000022,1,353824768,0,0,4
0.050000000000000044,2,353824768,0,0,4
0.09499999999999997,3,353824768,0,0,4
0.13,4,353824768,0,0,4
0.19499999999999995,5,353824768,0,0,4
0.25,6,353824768,0,0,4
0.31000000000000005,7,353824768,0,0,4
0.365,8,353824768,0,0,4
0.4,9,353824768,0,0,4
0.44999999999999996,10,353824768,0,0,4
0.0,0,7629056,1,0,0
0.07614213197969544,1,7629056,1,0,0
0.1675126903553299,2,7629056,1,0,0
0.30964467005076146,3,7629056,1,0,0
0.5177664974619289,4,7629056,1,0,0
0.6395939086294415,5,7629056,1,0,0
0.7817258883248731,6,7629056,1,0,0
0.8426395939086294,7,7629056,1,0,0
0.868020304568528,8,7629056,1,0,0
0.9086294416243654,9,7629056,1,0,0
0.934010152284264,10,7629056,1,0,0
0.0,0,123691008,0,0,3
0.015075376884422065,1,123691008,0,0,3
0.03015075376884424,2,123691008,0,0,3
0.045226130653266305,3,123691008,0,0,3
0.0653266331658291,4,123691008,0,0,3
0.08040201005025127,5,123691008,0,0,3
0.11557788944723613,6,123691008,0,0,3
0.13567839195979903,7,123691008,0,0,3
0.16582914572864327,8,123691008,0,0,3
0.18592964824120606,9,123691008,0,0,3
0.24120603015075381,10,123691008,0,0,3
0.0,0,908763136,0,0,5
0.01005025125628145,1,908763136,0,0,5
0.025125628140703515,2,908763136,0,0,5
0.07537688442211055,3,908763136,0,0,5
0.14070351758793975,4,908763136,0,0,5
0.1959798994974874,5,908763136,0,0,5
0.2814070351758794,6,908763136,0,0,5
0.31155778894472363,7,908763136,0,0,5
0.33668341708542715,8,908763136,0,0,5
0.38190954773869346,9,908763136,0,0,5
0.40703517587939697,10,908763136,0,0,5
0.0,0,2646435840,0,0,7
0.015000000000000013,1,2646435840,0,0,7
0.040000000000000036,2,2646435840,0,0,7
0.06499999999999995,3,2646435840,0,0,7
0.08999999999999997,4,2646435840,0,0,7
0.14,5,2646435840,0,0,7
0.21999999999999997,6,2646435840,0,0,7
0.30500000000000005,7,2646435840,0,0,7
0.33999999999999997,8,2646435840,0,0,7
0.395,9,2646435840,0,0,7
0.43999999999999995,10,2646435840,0,0,7
0.0,0,1311629312,0,0,6
0.020000000000000018,1,1311629312,0,0,6
0.040000000000000036,2,1311629312,0,0,6
0.06499999999999995,3,1311629312,0,0,6
0.12,4,1311629312,0,0,6
0.16000000000000003,5,1311629312,0,0,6
0.245,6,1311629312,0,0,6
0.31000000000000005,7,1311629312,0,0,6
0.41000000000000003,8,1311629312,0,0,6
0.46499999999999997,9,1311629312,0,0,6
0.485,10,1311629312,0,0,6
0.0,0,17617408,0,0,1
0.03535353535353536,1,17617408,0,0,1
0.1515151515151515,2,17617408,0,0,1
0.303030303030303,3,17617408,0,0,1
0.4696969696969697,4,17617408,0,0,1
0.5555555555555556,5,17617408,0,0,1
0.601010101010101,6,17617408,0,0,1
0.6363636363636364,7,17617408,0,0,1
0.6515151515151515,8,17617408,0,0,1
0.6565656565656566,9,17617408,0,0,1
0.6767676767676767,10,17617408,0,0,1
0.0,0,44672000,0,0,2
0.025252525252525304,1,44672000,0,0,2
0.09595959595959591,2,44672000,0,0,2
0.20707070707070707,3,44672000,0,0,2
0.297979797979798,4,44672000,0,0,2
0.43939393939393945,5,44672000,0,0,2
0.5606060606060606,6,44672000,0,0,2
0.6313131313131313,7,44672000,0,0,2
0.6919191919191919,8,44672000,0,0,2
0.7272727272727273,9,44672000,0,0,2
0.7777777777777778,10,44672000,0,0,2
