model_idx,seed_idx,aib,decile
5,2,inf,7
5,2,inf,8
5,2,inf,9
5,2,inf,10
6,2,2.0,0
6,2,inf,1
6,2,inf,2
6,2,inf,3
6,2,inf,4
6,2,inf,5
6,2,inf,6
6,2,inf,7
6,2,inf,8
6,2,inf,9
6,2,inf,10
7,2,1.0,0
7,2,inf,1
7,2,inf,2
7,2,inf,3
7,2,inf,4
7,2,inf,5
7,2,inf,6
7,2,inf,7
7,2,inf,8
7,2,inf,9
7,2,inf,10
8,2,2.0,0
8,2,inf,1
8,2,inf,2
8,2,inf,3
8,2,inf,4
8,2,inf,5
8,2,inf,6
8,2,inf,7
8,2,inf,8
8,2,inf,9
8,2,inf,10
9,2,1.0,0
9,2,inf,1
9,2,inf,2
9,2,inf,3
9,2,inf,4
9,2,inf,5
9,2,inf,6
9,2,inf,7
9,2,inf,8
9,2,inf,9
9,2,inf,10
0,3,1.0,0
0,3,2.823529411764706,1
0,3,10.441176470588236,2
0,3,27.274509803921568,3
0,3,72.05797101449275,4
0,3,180.45348837209303,5
0,3,inf,6
0,3,inf,7
0,3,inf,8
0,3,inf,9
0,3,inf,10
1,3,1.0,0
1,3,3.6470588235294117,1
1,3,18.34285714285714,2
1,3,66.41509433962264,3
1,3,173.80281690140845,4
1,3,inf,5
1,3,inf,6
1,3,inf,7
1,3,inf,8
1,3,inf,9
1,3,inf,10
2,3,1.0,0
2,3,5.611111111111111,1
2,3,17.97222222222222,2
2,3,59.648148148148145,3
2,3,157.83333333333334,4
2,3,inf,5
2,3,inf,6
2,3,inf,7
2,3,inf,8
2,3,inf,9
2,3,inf,10
3,3,1.0,0
3,3,21.555555555555557,1
3,3,inf,2
3,3,inf,3
3,3,inf,4
3,3,inf,5
3,3,inf,6
3,3,inf,7
3,3,inf,8
3,3,inf,9
3,3,inf,10
4,3,1.0,0
4,3,inf,1
4,3,inf,2
4,3,inf,3
4,3,inf,4
4,3,inf,5
4,3,inf,6
4,3,inf,7
4,3,inf,8
4,3,inf,9
4,3,inf,10
8,3,1.0,0
8,3,inf,1
8,3,inf,2
8,3,inf,3
8,3,inf,4
8,3,inf,5
8,3,inf,6
8,3,inf,7
8,3,inf,8
8,3,inf,9
8,3,inf,10
5,3,1.0,0
5,3,inf,1
5,3,inf,2
5,3,inf,3
5,3,inf,4
5,3,inf,5
5,3,inf,6
5,3,inf,7
5,3,inf,8
5,3,inf,9
5,3,inf,10
7,3,5.0,0
7,3,inf,1
7,3,inf,2
7,3,inf,3
7,3,inf,4
7,3,inf,5
7,3,inf,6
7,3,inf,7
7,3,inf,8
7,3,inf,9
7,3,inf,10
6,3,1.0,0
6,3,inf,1
6,3,inf,2
6,3,inf,3
6,3,inf,4
6,3,inf,5
6,3,inf,6
6,3,inf,7
6,3,inf,8
6,3,inf,9
6,3,inf,10
9,3,19.0,0
9,3,inf,1
9,3,inf,2
9,3,inf,3
9,3,inf,4
9,3,inf,5
9,3,inf,6
9,3,inf,7
9,3,inf,8
9,3,inf,9
9,3,inf,10
0,4,1.0,0
0,4,1.411764705882353,1
0,4,3.5714285714285716,2
0,4,11.81132075471698,3
0,4,32.80281690140845,4
0,4,90.65168539325843,5
0,4,inf,6
0,4,inf,7
0,4,inf,8
0,4,inf,9
0,4,inf,10
1,4,1.0,0
1,4,2.2777777777777777,1
1,4,9.416666666666666,2
1,4,27.462962962962962,3
1,4,89.79452054794521,4
1,4,190.28571428571428,5
1,4,inf,6
1,4,inf,7
1,4,inf,8
1,4,inf,9
1,4,inf,10
2,4,1.0,0
2,4,3.9444444444444446,1
2,4,26.324324324324323,2
2,4,78.12727272727273,3
2,4,227.74324324324326,4
2,4,inf,5
2,4,inf,6
2,4,inf,7
2,4,inf,8
2,4,inf,9
2,4,inf,10
3,4,1.0,0
3,4,50.55555555555556,1
3,4,inf,2
3,4,inf,3
3,4,inf,4
3,4,inf,5
3,4,inf,6
3,4,inf,7
3,4,inf,8
3,4,inf,9
3,4,inf,10
4,4,1.0,0
4,4,inf,1
4,4,inf,2
4,4,inf,3
4,4,inf,4
4,4,inf,5
4,4,inf,6
4,4,inf,7
4,4,inf,8
4,4,inf,9
4,4,inf,10
5,4,5.0,0
5,4,inf,1
5,4,inf,2
5,4,inf,3
5,4,inf,4
5,4,inf,5
5,4,inf,6
5,4,inf,7
5,4,inf,8
5,4,inf,9
5,4,inf,10
6,4,5.0,0
6,4,inf,1
6,4,inf,2
6,4,inf,3
6,4,inf,4
6,4,inf,5
6,4,inf,6
6,4,inf,7
6,4,inf,8
6,4,inf,9
6,4,inf,10
7,4,12.0,0
7,4,inf,1
7,4,inf,2
7,4,inf,3
7,4,inf,4
7,4,inf,5
7,4,inf,6
7,4,inf,7
7,4,inf,8
7,4,inf,9
7,4,inf,10
8,4,7.0,0
8,4,inf,1
8,4,inf,2
