asr,iteration,model_size,seed_idx,adv_training_round,model_idx
0.0,0,2646435840,0,0,7
0.3203125,1,2646435840,0,0,7
0.4765625,2,2646435840,0,0,7
0.5703125,3,2646435840,0,0,7
0.625,4,2646435840,0,0,7
0.6640625,5,2646435840,0,0,7
0.6953125,6,2646435840,0,0,7
0.71875,7,2646435840,0,0,7
0.7265625,8,2646435840,0,0,7
0.734375,9,2646435840,0,0,7
0.7578125,10,2646435840,0,0,7
0.0,0,908763136,0,0,5
0.48550724637681164,1,908763136,0,0,5
0.6159420289855073,2,908763136,0,0,5
0.6884057971014492,3,908763136,0,0,5
0.7536231884057971,4,908763136,0,0,5
0.7971014492753623,5,908763136,0,0,5
0.8333333333333334,6,908763136,0,0,5
0.8623188405797102,7,908763136,0,0,5
0.8985507246376812,8,908763136,0,0,5
0.9202898550724637,9,908763136,0,0,5
0.927536231884058,10,908763136,0,0,5
0.0,0,7629056,0,0,0
0.7377049180327868,1,7629056,0,0,0
0.9672131147540983,2,7629056,0,0,0
0.9918032786885246,3,7629056,0,0,0
0.9918032786885246,4,7629056,0,0,0
0.9918032786885246,5,7629056,0,0,0
1.0,6,7629056,0,0,0
1.0,7,7629056,0,0,0
1.0,8,7629056,0,0,0
1.0,9,7629056,0,0,0
1.0,10,7629056,0,0,0
0.0,0,11586560000,0,0,9
0.18705035971223016,1,11586560000,0,0,9
0.26618705035971224,2,11586560000,0,0,9
0.36690647482014394,3,11586560000,0,0,9
0.41007194244604317,4,11586560000,0,0,9
0.460431654676259,5,11586560000,0,0,9
0.5323741007194245,6,11586560000,0,0,9
0.5467625899280575,7,11586560000,0,0,9
0.5539568345323741,8,11586560000,0,0,9
0.5539568345323741,9,11586560000,0,0,9
0.5827338129496402,10,11586560000,0,0,9
0.0,0,7629056,1,0,0
0.49606299212598426,1,7629056,1,0,0
0.6850393700787402,2,7629056,1,0,0
0.8661417322834646,3,7629056,1,0,0
0.905511811023622,4,7629056,1,0,0
0.984251968503937,5,7629056,1,0,0
1.0,6,7629056,1,0,0
1.0,7,7629056,1,0,0
1.0,8,7629056,1,0,0
1.0,9,7629056,1,0,0
1.0,10,7629056,1,0,0
0.0,0,17617408,0,0,1
0.5190839694656488,1,17617408,0,0,1
0.5801526717557253,2,17617408,0,0,1
0.6488549618320612,3,17617408,0,0,1
0.732824427480916,4,17617408,0,0,1
0.8091603053435115,5,17617408,0,0,1
0.8931297709923665,6,17617408,0,0,1
0.9465648854961832,7,17617408,0,0,1
0.9694656488549618,8,17617408,0,0,1
0.9847328244274809,9,17617408,0,0,1
0.9847328244274809,10,17617408,0,0,1
0.0,0,44672000,0,0,2
0.4920634920634921,1,44672000,0,0,2
0.873015873015873,2,44672000,0,0,2
0.9285714285714286,3,44672000,0,0,2
0.9841269841269842,4,44672000,0,0,2
1.0,5,44672000,0,0,2
1.0,6,44672000,0,0,2
1.0,7,44672000,0,0,2
1.0,8,44672000,0,0,2
1.0,9,44672000,0,0,2
1.0,10,44672000,0,0,2
0.0,0,123691008,0,0,3
0.4135338345864662,1,123691008,0,0,3
0.631578947368421,2,123691008,0,0,3
0.7593984962406015,3,123691008,0,0,3
0.8120300751879699,4,123691008,0,0,3
0.887218045112782,5,123691008,0,0,3
0.9097744360902256,6,123691008,0,0,3
0.9323308270676691,7,123691008,0,0,3
0.9473684210526316,8,123691008,0,0,3
0.9473684210526316,9,123691008,0,0,3
0.9624060150375939,10,123691008,0,0,3
0.0,0,6650740736,0,0,8
0.21014492753623193,1,6650740736,0,0,8
0.2681159420289855,2,6650740736,0,0,8
0.3695652173913043,3,6650740736,0,0,8
0.4782608695652174,4,6650740736,0,0,8
0.5434782608695652,5,6650740736,0,0,8
0.5579710144927537,6,6650740736,0,0,8
0.572463768115942,7,6650740736,0,0,8
0.5797101449275363,8,6650740736,0,0,8
0.5869565217391304,9,6650740736,0,0,8
0.6159420289855073,10,6650740736,0,0,8
0.0,0,1311629312,0,0,6
0.23529411764705888,1,1311629312,0,0,6
0.4201680672268907,2,1311629312,0,0,6
0.546218487394958,3,1311629312,0,0,6
0.6050420168067228,4,1311629312,0,0,6
0.6218487394957983,5,1311629312,0,0,6
0.6386554621848739,6,1311629312,0,0,6
0.6638655462184874,7,1311629312,0,0,6
0.6974789915966386,8,1311629312,0,0,6
0.7142857142857143,9,1311629312,0,0,6
0.7478991596638656,10,1311629312,0,0,6
0.0,0,353824768,0,0,4
0.4233576642335767,1,353824768,0,0,4
0.6277372262773723,2,353824768,0,0,4
0.6715328467153285,3,353824768,0,0,4
0.7226277372262774,4,353824768,0,0,4
0.7883211678832117,5,353824768,0,0,4
