model_idx,seed_idx,aib,decile
6,2,1.15,1
6,2,9.025,2
6,2,inf,3
6,2,inf,4
6,2,inf,5
6,2,inf,6
6,2,inf,7
6,2,inf,8
6,2,inf,9
6,2,inf,10
8,2,1.0,0
8,2,inf,1
8,2,inf,2
8,2,inf,3
8,2,inf,4
8,2,inf,5
8,2,inf,6
8,2,inf,7
8,2,inf,8
8,2,inf,9
8,2,inf,10
7,2,1.0,0
7,2,1.5263157894736843,1
7,2,17.102564102564102,2
7,2,inf,3
7,2,inf,4
7,2,inf,5
7,2,inf,6
7,2,inf,7
7,2,inf,8
7,2,inf,9
7,2,inf,10
9,2,1.0,0
9,2,2.1,1
9,2,inf,2
9,2,inf,3
9,2,inf,4
9,2,inf,5
9,2,inf,6
9,2,inf,7
9,2,inf,8
9,2,inf,9
9,2,inf,10
0,3,1.0,0
0,3,3.473684210526316,1
0,3,21.17948717948718,2
0,3,115.79661016949153,3
0,3,inf,4
0,3,inf,5
0,3,inf,6
0,3,inf,7
0,3,inf,8
0,3,inf,9
0,3,inf,10
2,3,1.0,0
2,3,82.05263157894737,1
2,3,inf,2
2,3,inf,3
2,3,inf,4
2,3,inf,5
2,3,inf,6
2,3,inf,7
2,3,inf,8
2,3,inf,9
2,3,inf,10
1,3,1.0,0
1,3,9.210526315789474,1
1,3,78.02564102564102,2
1,3,inf,3
1,3,inf,4
1,3,inf,5
1,3,inf,6
1,3,inf,7
1,3,inf,8
1,3,inf,9
1,3,inf,10
3,3,1.0,0
3,3,1.894736842105263,1
3,3,119.6923076923077,2
3,3,inf,3
3,3,inf,4
3,3,inf,5
3,3,inf,6
3,3,inf,7
3,3,inf,8
3,3,inf,9
3,3,inf,10
4,3,1.0,0
4,3,5.0,1
4,3,inf,2
4,3,inf,3
4,3,inf,4
4,3,inf,5
4,3,inf,6
4,3,inf,7
4,3,inf,8
4,3,inf,9
4,3,inf,10
5,3,1.0,0
5,3,1.15,1
5,3,3.05,2
5,3,6.516666666666667,3
5,3,20.1125,4
5,3,inf,5
5,3,inf,6
5,3,inf,7
5,3,inf,8
5,3,inf,9
5,3,inf,10
7,3,1.0,0
7,3,1.0,1
7,3,1.2307692307692308,2
7,3,2.2033898305084745,3
7,3,4.670886075949367,4
7,3,inf,5
7,3,inf,6
7,3,inf,7
7,3,inf,8
7,3,inf,9
7,3,inf,10
6,3,1.0,0
6,3,152.6315789473684,1
6,3,inf,2
6,3,inf,3
6,3,inf,4
6,3,inf,5
6,3,inf,6
6,3,inf,7
6,3,inf,8
6,3,inf,9
6,3,inf,10
8,3,1.0,0
8,3,1.9473684210526316,1
8,3,35.15384615384615,2
8,3,inf,3
8,3,inf,4
8,3,inf,5
8,3,inf,6
8,3,inf,7
8,3,inf,8
8,3,inf,9
8,3,inf,10
9,3,1.0,0
9,3,23.473684210526315,1
9,3,inf,2
9,3,inf,3
9,3,inf,4
9,3,inf,5
9,3,inf,6
9,3,inf,7
9,3,inf,8
9,3,inf,9
9,3,inf,10
1,4,1.0,0
1,4,162.05263157894737,1
1,4,inf,2
1,4,inf,3
1,4,inf,4
1,4,inf,5
1,4,inf,6
1,4,inf,7
1,4,inf,8
1,4,inf,9
1,4,inf,10
0,4,1.0,0
0,4,22.94736842105263,1
0,4,151.97435897435898,2
0,4,inf,3
0,4,inf,4
0,4,inf,5
0,4,inf,6
0,4,inf,7
0,4,inf,8
0,4,inf,9
0,4,inf,10
2,4,1.0,0
2,4,inf,1
2,4,inf,2
2,4,inf,3
2,4,inf,4
2,4,inf,5
2,4,inf,6
2,4,inf,7
2,4,inf,8
2,4,inf,9
2,4,inf,10
3,4,1.0,0
3,4,inf,1
3,4,inf,2
3,4,inf,3
3,4,inf,4
3,4,inf,5
3,4,inf,6
3,4,inf,7
3,4,inf,8
3,4,inf,9
3,4,inf,10
5,4,1.0,0
5,4,1.4736842105263157,1
5,4,10.384615384615385,2
5,4,72.91525423728814,3
5,4,inf,4
5,4,inf,5
5,4,inf,6
5,4,inf,7
5,4,inf,8
5,4,inf,9
5,4,inf,10
4,4,1.0,0
4,4,97.89473684210526,1
4,4,inf,2
4,4,inf,3
4,4,inf,4
4,4,inf,5
4,4,inf,6
4,4,inf,7
4,4,inf,8
4,4,inf,9
4,4,inf,10
6,4,1.0,0
6,4,1.8,1
6,4,30.5,2
6,4,inf,3
6,4,inf,4
6,4,inf,5
6,4,inf,6
6,4,inf,7
6,4,inf,8
6,4,inf,9
6,4,inf,10
7,4,1.0,0
7,4,inf,1
7,4,inf,2
7,4,inf,3
7,4,inf,4
7,4,inf,5
7,4,inf,6
7,4,inf,7
7,4,inf,8
7,4,inf,9
7,4,inf,10
9,4,1.0,0
9,4,47.8,1
9,4,inf,2
9,4,inf,3
9,4,inf,4
9,4,inf,5
9,4,inf,6
9,4,inf,7
9,4,inf,8
9,4,inf,9
9,4,inf,10
8,4,1.0,0
8,4,1.3,1
8,4,7.425,2
8,4,51.11666666666667,3
8,4,inf,4
8,4,inf,5
8,4,inf,6
8,4,inf,7
8,4,inf,8
8,4,inf,9
8,4,inf,10
