ifs,decile,model_size,seed_idx,adv_training_round,model_idx
3.0,2,353824768,1,0,4
6.0,3,353824768,1,0,4
9.0,4,353824768,1,0,4
26.0,5,353824768,1,0,4
84.0,6,353824768,1,0,4
334.0,7,353824768,1,0,4
,8,353824768,1,0,4
,9,353824768,1,0,4
,10,353824768,1,0,4
0.0,0,2646435840,1,0,7
1.0,1,2646435840,1,0,7
3.0,2,2646435840,1,0,7
7.0,3,2646435840,1,0,7
24.0,4,2646435840,1,0,7
79.0,5,2646435840,1,0,7
289.0,6,2646435840,1,0,7
,7,2646435840,1,0,7
,8,2646435840,1,0,7
,9,2646435840,1,0,7
,10,2646435840,1,0,7
0.0,0,6650740736,1,0,8
2.0,1,6650740736,1,0,8
6.0,2,6650740736,1,0,8
19.0,3,6650740736,1,0,8
72.0,4,6650740736,1,0,8
345.0,5,6650740736,1,0,8
,6,6650740736,1,0,8
,7,6650740736,1,0,8
,8,6650740736,1,0,8
,9,6650740736,1,0,8
,10,6650740736,1,0,8
0.0,0,11586560000,1,0,9
2.0,1,11586560000,1,0,9
6.0,2,11586560000,1,0,9
18.0,3,11586560000,1,0,9
47.0,4,11586560000,1,0,9
173.0,5,11586560000,1,0,9
756.0,6,11586560000,1,0,9
,7,11586560000,1,0,9
,8,11586560000,1,0,9
,9,11586560000,1,0,9
,10,11586560000,1,0,9
0.0,0,7629056,2,0,0
1.0,1,7629056,2,0,0
1.0,2,7629056,2,0,0
1.0,3,7629056,2,0,0
2.0,4,7629056,2,0,0
4.0,5,7629056,2,0,0
12.0,6,7629056,2,0,0
33.0,7,7629056,2,0,0
222.0,8,7629056,2,0,0
1065.0,9,7629056,2,0,0
,10,7629056,2,0,0
0.0,0,44672000,2,0,2
1.0,1,44672000,2,0,2
1.0,2,44672000,2,0,2
2.0,3,44672000,2,0,2
3.0,4,44672000,2,0,2
10.0,5,44672000,2,0,2
19.0,6,44672000,2,0,2
53.0,7,44672000,2,0,2
160.0,8,44672000,2,0,2
425.0,9,44672000,2,0,2
,10,44672000,2,0,2
0.0,0,17617408,2,0,1
1.0,1,17617408,2,0,1
1.0,2,17617408,2,0,1
1.0,3,17617408,2,0,1
1.0,4,17617408,2,0,1
4.0,5,17617408,2,0,1
42.0,6,17617408,2,0,1
199.0,7,17617408,2,0,1
,8,17617408,2,0,1
,9,17617408,2,0,1
,10,17617408,2,0,1
0.0,0,123691008,2,0,3
1.0,1,123691008,2,0,3
1.0,2,123691008,2,0,3
1.0,3,123691008,2,0,3
3.0,4,123691008,2,0,3
5.0,5,123691008,2,0,3
12.0,6,123691008,2,0,3
34.0,7,123691008,2,0,3
173.0,8,123691008,2,0,3
1061.0,9,123691008,2,0,3
,10,123691008,2,0,3
0.0,0,353824768,2,0,4
1.0,1,353824768,2,0,4
2.0,2,353824768,2,0,4
3.0,3,353824768,2,0,4
3.0,4,353824768,2,0,4
5.0,5,353824768,2,0,4
10.0,6,353824768,2,0,4
19.0,7,353824768,2,0,4
39.0,8,353824768,2,0,4
129.0,9,353824768,2,0,4
,10,353824768,2,0,4
0.0,0,908763136,2,0,5
2.0,1,908763136,2,0,5
3.0,2,908763136,2,0,5
5.0,3,908763136,2,0,5
9.0,4,908763136,2,0,5
16.0,5,908763136,2,0,5
36.0,6,908763136,2,0,5
98.0,7,908763136,2,0,5
587.0,8,908763136,2,0,5
,9,908763136,2,0,5
,10,908763136,2,0,5
0.0,0,1311629312,2,0,6
1.0,1,1311629312,2,0,6
3.0,2,1311629312,2,0,6
