ifs,decile,model_size,seed_idx,adv_training_round,model_idx
,8,1311629312,0,0,6
,9,1311629312,0,0,6
,10,1311629312,0,0,6
0.0,0,6650740736,0,0,8
,1,6650740736,0,0,8
,2,6650740736,0,0,8
,3,6650740736,0,0,8
,4,6650740736,0,0,8
,5,6650740736,0,0,8
,6,6650740736,0,0,8
,7,6650740736,0,0,8
,8,6650740736,0,0,8
,9,6650740736,0,0,8
,10,6650740736,0,0,8
0.0,0,353824768,0,0,4
,1,353824768,0,0,4
,2,353824768,0,0,4
,3,353824768,0,0,4
,4,353824768,0,0,4
,5,353824768,0,0,4
,6,353824768,0,0,4
,7,353824768,0,0,4
,8,353824768,0,0,4
,9,353824768,0,0,4
,10,353824768,0,0,4
0.0,0,11586560000,0,0,9
,1,11586560000,0,0,9
,2,11586560000,0,0,9
,3,11586560000,0,0,9
,4,11586560000,0,0,9
,5,11586560000,0,0,9
,6,11586560000,0,0,9
,7,11586560000,0,0,9
,8,11586560000,0,0,9
,9,11586560000,0,0,9
,10,11586560000,0,0,9
0.0,0,123691008,0,0,3
261.0,1,123691008,0,0,3
,2,123691008,0,0,3
,3,123691008,0,0,3
,4,123691008,0,0,3
,5,123691008,0,0,3
,6,123691008,0,0,3
,7,123691008,0,0,3
,8,123691008,0,0,3
,9,123691008,0,0,3
,10,123691008,0,0,3
0.0,0,908763136,0,0,5
,1,908763136,0,0,5
,2,908763136,0,0,5
,3,908763136,0,0,5
,4,908763136,0,0,5
,5,908763136,0,0,5
,6,908763136,0,0,5
,7,908763136,0,0,5
,8,908763136,0,0,5
,9,908763136,0,0,5
,10,908763136,0,0,5
0.0,0,44672000,1,0,2
11.0,1,44672000,1,0,2
86.0,2,44672000,1,0,2
299.0,3,44672000,1,0,2
712.0,4,44672000,1,0,2
,5,44672000,1,0,2
,6,44672000,1,0,2
,7,44672000,1,0,2
,8,44672000,1,0,2
,9,44672000,1,0,2
,10,44672000,1,0,2
0.0,0,123691008,1,0,3
134.0,1,123691008,1,0,3
930.0,2,123691008,1,0,3
,3,123691008,1,0,3
,4,123691008,1,0,3
,5,123691008,1,0,3
,6,123691008,1,0,3
,7,123691008,1,0,3
,8,123691008,1,0,3
,9,123691008,1,0,3
,10,123691008,1,0,3
0.0,0,353824768,1,0,4
,1,353824768,1,0,4
,2,353824768,1,0,4
,3,353824768,1,0,4
,4,353824768,1,0,4
,5,353824768,1,0,4
,6,353824768,1,0,4
,7,353824768,1,0,4
,8,353824768,1,0,4
,9,353824768,1,0,4
,10,353824768,1,0,4
0.0,0,908763136,1,0,5
,1,908763136,1,0,5
,2,908763136,1,0,5
,3,908763136,1,0,5
,4,908763136,1,0,5
,5,908763136,1,0,5
,6,908763136,1,0,5
,7,908763136,1,0,5
,8,908763136,1,0,5
,9,908763136,1,0,5
,10,908763136,1,0,5
0.0,0,1311629312,1,0,6
647.0,1,1311629312,1,0,6
,2,1311629312,1,0,6
,3,1311629312,1,0,6
,4,1311629312,1,0,6
,5,1311629312,1,0,6
,6,1311629312,1,0,6
,7,1311629312,1,0,6
,8,1311629312,1,0,6
,9,1311629312,1,0,6
,10,1311629312,1,0,6
0.0,0,2646435840,1,0,7
,1,2646435840,1,0,7
,2,2646435840,1,0,7
,3,2646435840,1,0,7
,4,2646435840,1,0,7
,5,2646435840,1,0,7
,6,2646435840,1,0,7
,7,2646435840,1,0,7
,8,2646435840,1,0,7
,9,2646435840,1,0,7
,10,2646435840,1,0,7
0.0,0,7629056,2,0,0
2.0,1,7629056,2,0,0
21.0,2,7629056,2,0,0
91.0,3,7629056,2,0,0
376.0,4,7629056,2,0,0
1162.0,5,7629056,2,0,0
,6,7629056,2,0,0
,7,7629056,2,0,0
,8,7629056,2,0,0
,9,7629056,2,0,0
,10,7629056,2,0,0
0.0,0,17617408,2,0,1
9.0,1,17617408,2,0,1
56.0,2,17617408,2,0,1
152.0,3,17617408,2,0,1
536.0,4,17617408,2,0,1
,5,17617408,2,0,1
,6,17617408,2,0,1
,7,17617408,2,0,1
,8,17617408,2,0,1
,9,17617408,2,0,1
,10,17617408,2,0,1
0.0,0,44672000,2,0,2
8.0,1,44672000,2,0,2
90.0,2,44672000,2,0,2
659.0,3,44672000,2,0,2
,4,44672000,2,0,2
,5,44672000,2,0,2
,6,44672000,2,0,2
,7,44672000,2,0,2
,8,44672000,2,0,2
,9,44672000,2,0,2
,10,44672000,2,0,2
0.0,0,11586560000,1,0,9
,1,11586560000,1,0,9
,2,11586560000,1,0,9
,3,11586560000,1,0,9
,4,11586560000,1,0,9
,5,11586560000,1,0,9
,6,11586560000,1,0,9
,7,11586560000,1,0,9
,8,11586560000,1,0,9
,9,11586560000,1,0,9
,10,11586560000,1,0,9
0.0,0,6650740736,1,0,8
,1,6650740736,1,0,8
,2,6650740736,1,0,8
,3,6650740736,1,0,8
,4,6650740736,1,0,8
,5,6650740736,1,0,8
,6,6650740736,1,0,8
,7,6650740736,1,0,8
,8,6650740736,1,0,8
,9,6650740736,1,0,8
,10,6650740736,1,0,8
0.0,0,123691008,2,0,3
405.0,1,123691008,2,0,3
,2,123691008,2,0,3
,3,123691008,2,0,3
,4,123691008,2,0,3
,5,123691008,2,0,3
,6,123691008,2,0,3
,7,123691008,2,0,3
,8,123691008,2,0,3
,9,123691008,2,0,3
,10,123691008,2,0,3
0.0,0,908763136,2,0,5
,1,908763136,2,0,5
,2,908763136,2,0,5
,3,908763136,2,0,5
,4,908763136,2,0,5
,5,908763136,2,0,5
,6,908763136,2,0,5
,7,908763136,2,0,5
,8,908763136,2,0,5
,9,908763136,2,0,5
,10,908763136,2,0,5
0.0,0,353824768,2,0,4
,1,353824768,2,0,4
,2,353824768,2,0,4
,3,353824768,2,0,4
,4,353824768,2,0,4
,5,353824768,2,0,4
,6,353824768,2,0,4
,7,353824768,2,0,4
,8,353824768,2,0,4
,9,353824768,2,0,4
,10,353824768,2,0,4
0.0,0,1311629312,2,0,6
,1,1311629312,2,0,6
,2,1311629312,2,0,6
,3,1311629312,2,0,6
,4,1311629312,2,0,6
,5,1311629312,2,0,6
,6,1311629312,2,0,6
,7,1311629312,2,0,6
,8,1311629312,2,0,6
,9,1311629312,2,0,6
,10,1311629312,2,0,6
0.0,0,7629056,3,0,0
8.0,1,7629056,3,0,0
36.0,2,7629056,3,0,0
115.0,3,7629056,3,0,0
363.0,4,7629056,3,0,0
935.0,5,7629056,3,0,0
,6,7629056,3,0,0
,7,7629056,3,0,0
,8,7629056,3,0,0
,9,7629056,3,0,0
,10,7629056,3,0,0
0.0,0,2646435840,2,0,7
,1,2646435840,2,0,7
,2,2646435840,2,0,7
,3,2646435840,2,0,7
,4,2646435840,2,0,7
,5,2646435840,2,0,7
,6,2646435840,2,0,7
,7,2646435840,2,0,7
,8,2646435840,2,0,7
,9,2646435840,2,0,7
,10,2646435840,2,0,7
0.0,0,44672000,3,0,2
16.0,1,44672000,3,0,2
53.0,2,44672000,3,0,2
260.0,3,44672000,3,0,2
954.0,4,44672000,3,0,2
,5,44672000,3,0,2
,6,44672000,3,0,2
,7,44672000,3,0,2
,8,44672000,3,0,2
,9,44672000,3,0,2
,10,44672000,3,0,2
0.0,0,11586560000,2,0,9
,1,11586560000,2,0,9
,2,11586560000,2,0,9
,3,11586560000,2,0,9
,4,11586560000,2,0,9
,5,11586560000,2,0,9
,6,11586560000,2,0,9
,7,11586560000,2,0,9
,8,11586560000,2,0,9
,9,11586560000,2,0,9
,10,11586560000,2,0,9
0.0,0,17617408,3,0,1
10.0,1,17617408,3,0,1
81.0,2,17617408,3,0,1
267.0,3,17617408,3,0,1
776.0,4,17617408,3,0,1
,5,17617408,3,0,1
,6,17617408,3,0,1
,7,17617408,3,0,1
,8,17617408,3,0,1
,9,17617408,3,0,1
,10,17617408,3,0,1
0.0,0,6650740736,2,0,8
,1,6650740736,2,0,8
,2,6650740736,2,0,8
,3,6650740736,2,0,8
,4,6650740736,2,0,8
,5,6650740736,2,0,8
,6,6650740736,2,0,8
,7,6650740736,2,0,8
,8,6650740736,2,0,8
,9,6650740736,2,0,8
,10,6650740736,2,0,8
0.0,0,123691008,3,0,3
91.0,1,123691008,3,0,3
,2,123691008,3,0,3
,3,123691008,3,0,3
,4,123691008,3,0,3
,5,123691008,3,0,3
,6,123691008,3,0,3
,7,123691008,3,0,3
,8,123691008,3,0,3
,9,123691008,3,0,3
,10,123691008,3,0,3
0.0,0,353824768,3,0,4
,1,353824768,3,0,4
,2,353824768,3,0,4
,3,353824768,3,0,4
,4,353824768,3,0,4
,5,353824768,3,0,4
,6,353824768,3,0,4
,7,353824768,3,0,4
,8,353824768,3,0,4
,9,353824768,3,0,4
,10,353824768,3,0,4
0.0,0,908763136,3,0,5
,1,908763136,3,0,5
,2,908763136,3,0,5
,3,908763136,3,0,5
,4,908763136,3,0,5
,5,908763136,3,0,5
,6,908763136,3,0,5
,7,908763136,3,0,5
,8,908763136,3,0,5
,9,908763136,3,0,5
,10,908763136,3,0,5
0.0,0,2646435840,3,0,7
,1,2646435840,3,0,7
,2,2646435840,3,0,7
,3,2646435840,3,0,7
,4,2646435840,3,0,7
,5,2646435840,3,0,7
,6,2646435840,3,0,7
,7,2646435840,3,0,7
,8,2646435840,3,0,7
,9,2646435840,3,0,7
,10,2646435840,3,0,7
0.0,0,6650740736,3,0,8
,1,6650740736,3,0,8
,2,6650740736,3,0,8
,3,6650740736,3,0,8
,4,6650740736,3,0,8
,5,6650740736,3,0,8
,6,6650740736,3,0,8
,7,6650740736,3,0,8
,8,6650740736,3,0,8
,9,6650740736,3,0,8
,10,6650740736,3,0,8
0.0,0,1311629312,3,0,6
,1,1311629312,3,0,6
,2,1311629312,3,0,6
,3,1311629312,3,0,6
,4,1311629312,3,0,6
,5,1311629312,3,0,6
,6,1311629312,3,0,6
,7,1311629312,3,0,6
,8,1311629312,3,0,6
,9,1311629312,3,0,6
,10,1311629312,3,0,6
0.0,0,11586560000,3,0,9
,1,11586560000,3,0,9
,2,11586560000,3,0,9
,3,11586560000,3,0,9
,4,11586560000,3,0,9
,5,11586560000,3,0,9
,6,11586560000,3,0,9
,7,11586560000,3,0,9
,8,11586560000,3,0,9
,9,11586560000,3,0,9
,10,11586560000,3,0,9
0.0,0,7629056,4,0,0
2.0,1,7629056,4,0,0
12.0,2,7629056,4,0,0
49.0,3,7629056,4,0,0
164.0,4,7629056,4,0,0
560.0,5,7629056,4,0,0
,6,7629056,4,0,0
,7,7629056,4,0,0
,8,7629056,4,0,0
,9,7629056,4,0,0
,10,7629056,4,0,0
0.0,0,44672000,4,0,2
10.0,1,44672000,4,0,2
94.0,2,44672000,4,0,2
353.0,3,44672000,4,0,2
1130.0,4,44672000,4,0,2
,5,44672000,4,0,2
,6,44672000,4,0,2
,7,44672000,4,0,2
,8,44672000,4,0,2
,9,44672000,4,0,2
,10,44672000,4,0,2
0.0,0,123691008,4,0,3
367.0,1,123691008,4,0,3
,2,123691008,4,0,3
,3,123691008,4,0,3
,4,123691008,4,0,3
,5,123691008,4,0,3
,6,123691008,4,0,3
,7,123691008,4,0,3
,8,123691008,4,0,3
,9,123691008,4,0,3
,10,123691008,4,0,3
0.0,0,17617408,4,0,1
5.0,1,17617408,4,0,1
36.0,2,17617408,4,0,1
134.0,3,17617408,4,0,1
438.0,4,17617408,4,0,1
879.0,5,17617408,4,0,1
,6,17617408,4,0,1
,7,17617408,4,0,1
,8,17617408,4,0,1
,9,17617408,4,0,1
,10,17617408,4,0,1
0.0,0,353824768,4,0,4
,1,353824768,4,0,4
,2,353824768,4,0,4
,3,353824768,4,0,4
,4,353824768,4,0,4
,5,353824768,4,0,4
,6,353824768,4,0,4
,7,353824768,4,0,4
,8,353824768,4,0,4
,9,353824768,4,0,4
,10,353824768,4,0,4
0.0,0,908763136,4,0,5
,1,908763136,4,0,5
,2,908763136,4,0,5
,3,908763136,4,0,5
,4,908763136,4,0,5
,5,908763136,4,0,5
,6,908763136,4,0,5
,7,908763136,4,0,5
,8,908763136,4,0,5
,9,908763136,4,0,5
,10,908763136,4,0,5
0.0,0,1311629312,4,0,6
,1,1311629312,4,0,6
,2,1311629312,4,0,6
,3,1311629312,4,0,6
,4,1311629312,4,0,6
,5,1311629312,4,0,6
,6,1311629312,4,0,6
,7,1311629312,4,0,6
,8,1311629312,4,0,6
,9,1311629312,4,0,6
,10,1311629312,4,0,6
0.0,0,2646435840,4,0,7
,1,2646435840,4,0,7
,2,2646435840,4,0,7
,3,2646435840,4,0,7
,4,2646435840,4,0,7
,5,2646435840,4,0,7
,6,2646435840,4,0,7
,7,2646435840,4,0,7
,8,2646435840,4,0,7
,9,2646435840,4,0,7
,10,2646435840,4,0,7
0.0,0,11586560000,4,0,9
,1,11586560000,4,0,9
,2,11586560000,4,0,9
,3,11586560000,4,0,9
,4,11586560000,4,0,9
,5,11586560000,4,0,9
,6,11586560000,4,0,9
,7,11586560000,4,0,9
,8,11586560000,4,0,9
,9,11586560000,4,0,9
,10,11586560000,4,0,9
0.0,0,6650740736,4,0,8
,1,6650740736,4,0,8
,2,6650740736,4,0,8
,3,6650740736,4,0,8
,4,6650740736,4,0,8
,5,6650740736,4,0,8
,6,6650740736,4,0,8
,7,6650740736,4,0,8
,8,6650740736,4,0,8
,9,6650740736,4,0,8
,10,6650740736,4,0,8
